Artist,Album,Track Name,Track ID,Energy,Key,Loudness,Instrumentalness,Valence,Tempo,Mood
Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,0.58,0,-8.393,0.000127,0.753,144.072,Energetic
Morgan Wallen,3 Songs At A Time Sampler,Last Night,59uQI0PADDKeE6UZDTJEe8,0.675,6,-5.382,0.0,0.518,203.853,Energetic
"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.559,6,-9.222,7.49e-06,0.62,78.558,Energetic
Jung Kook,Seven (feat. Latto),Seven (feat. Latto) (Explicit Ver.),7x9aauaA9cu6tyfpHnqDLo,0.832,11,-4.107,0.0,0.89,124.997,Energetic
Dua Lipa,Dance The Night (From Barbie The Album),Dance The Night (From Barbie The Album),1vYXt7VSjH9JIM5oRRo7vA,0.845,11,-4.93,0.0,0.775,110.056,Energetic
Travis Scott,UTOPIA,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,0.619,5,-4.441,0.0,0.817,117.995,Energetic
PinkPantheress,Boy's a liar Pt. 2,Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,0.809,5,-8.254,0.000128,0.857,132.962,Energetic
Grupo Frontera,un x100to,un x100to,6pD0ufEQq0xdHSsRbg9LBK,0.724,6,-4.076,0.0,0.562,83.118,Energetic
Taylor Swift,Speak Now (Taylor's Version),I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,0.764,6,-4.893,0.0,0.819,123.044,Energetic
Eslabon Armado,Ella Baila Sola,Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,0.758,5,-5.176,1.89e-05,0.834,147.989,Energetic
Morgan Wallen,One Thing At A Time,You Proof,5W4kiM2cUYBJXKRudNyxjW,0.839,9,-5.007,0.0,0.629,119.724,Energetic
FIFTY FIFTY,The Beginning: Cupid,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,0.592,11,-8.332,4.15e-06,0.726,120.018,Energetic
NewJeans,NewJeans 'Super Shy',Super Shy,5sdQOyqq2IDhvmx2lHOpwd,0.817,5,-6.018,3.44e-05,0.515,149.921,Energetic
Taylor Swift,Midnights,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,0.643,4,-6.571,1.8e-06,0.533,97.008,Energetic
Peso Pluma,GÉNESIS,LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,0.736,5,-7.118,0.0,0.873,140.098,Energetic
Travis Scott,K-POP,K-POP,5L3ecxQnQ9qTBmnLQiwf0C,0.618,5,-5.614,3.34e-06,0.535,121.075,Energetic
Junior H,El Azul,El Azul,1haJsMtoBhHfvuM7XWuT3W,0.648,9,-7.081,7.76e-06,0.844,143.876,Energetic
Fuerza Regida,TQM,TQM,368eeEO3Y2uZUQ6S5oIjcu,0.853,5,-4.955,0.0,0.963,125.107,Energetic
Bailey Zimmerman,Religiously. The Album.,Religiously,0bILU0UiNDmA5Ff6whhb2R,0.67,1,-6.519,0.0,0.593,140.924,Energetic
Fuerza Regida,SABOR FRESA,SABOR FRESA,1UMm1Qs3u59Wvk53zBUE8r,0.863,7,-4.599,0.0,0.962,130.132,Energetic
Travis Scott,UTOPIA,THANK GOD,1PH2MDbcBAU094DlgTIND1,0.553,10,-7.08,0.0,0.576,134.925,Energetic
Morgan Wallen,If I Know Me,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,0.68,6,-4.58,1.84e-06,0.707,149.959,Energetic
Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55",5AqiaZwhmC6dIbgWrD5SzV,0.668,5,-7.848,5.61e-05,0.805,132.966,Energetic
Noah Kahan,Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,0.613,8,-7.147,0.0,0.681,112.046,Energetic
Frank Ocean,Blonde,Pink + White,3xKsf9qdS1CyvXSMEid6g8,0.545,9,-7.362,5.48e-05,0.549,159.94,Energetic
Travis Scott,UTOPIA,MODERN JAM (feat. Teezo Touchdown),3KCNiDi9Pza6ZD8FggNoaw,0.539,9,-6.474,1.4e-05,0.531,108.984,Energetic
