Artist,Album,Track Name,Track ID,Energy,Key,Loudness,Instrumentalness,Valence,Tempo,Mood
Yng Lvcas,La Bebe (Remix),La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,0.479,2,-5.678,1.21e-06,0.559,169.922,Happy
Drake,Search & Rescue,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,0.44,10,-8.482,1.42e-06,0.544,142.024,Happy
Lil Durk,All My Life (feat. J. Cole),All My Life (feat. J. Cole),6HgWWaMu31KdOpEG5l28BG,0.436,3,-8.205,0.0,0.693,143.031,Happy
Laufey,From The Start,From The Start,1Ukxccao1BlWrPhYkcXbwZ,0.405,1,-7.413,0.000765,0.743,81.89,Happy
Kaliii,Area Codes,Area Codes,7sliFe6W30tPBPh6dvZsIH,0.388,1,-10.867,0.0,0.507,154.569,Happy
Chris Stapleton,Traveller,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,0.37,9,-10.888,0.0096,0.512,48.718,Happy
Zach Bryan,American Heartbreak,Sun to Me,1SjsVdSXpwm1kTdYEHoPIT,0.27,9,-9.165,0.0,0.557,98.721,Happy
Brent Faiyaz,Fuck The World,Clouded,2J6OF7CkpdQGSfm1wdclqn,0.344,2,-8.765,0.0,0.581,65.203,Happy
Chris Stapleton,Starting Over,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,0.477,9,-8.425,3.1e-05,0.552,183.89,Happy
Mac DeMarco,Here Comes The Cowboy,Heart To Heart,7EAMXbLcL0qXmciM5SwMh2,0.136,8,-16.127,0.354,0.643,150.076,Happy
Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.479,2,-5.574,0.0,0.913,89.911,Happy
Lil Baby,Harder Than Ever,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,0.346,5,-9.309,0.0,0.562,119.957,Happy
Noah Kahan,Stick Season,Stick Season,0mflMxspEfB0VbI1kyLiAv,0.488,9,-6.894,0.0,0.817,117.913,Happy
Childish Gambino,"""Awaken, My Love!""",Redbone,0WtDGnWL2KrMCk0mI1Gpwz,0.353,1,-10.614,0.00662,0.598,160.111,Happy
Steve Lacy,Gemini Rights,Bad Habit,4k6Uh1HXdhtusDW5y8Gbvy,0.494,1,-7.093,5.8e-05,0.7,168.946,Happy
Brent Faiyaz,WASTELAND,JACKIE BROWN,2IlT65thKQQw248mhk2PjQ,0.353,10,-10.273,0.002,0.503,137.66,Happy
Meek Mill,Championships,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,0.496,4,-6.365,0.0,0.544,86.003,Happy
Richy Mitch & The Coal Miners,RMCM,Evergreen,6me7F0aaZjwDo6RJ5MrfBD,0.216,3,-11.661,0.00416,0.504,79.109,Happy
Childish Gambino,Because the Internet,3005,5cc9Zbfp9u10sfJeKZ3h16,0.447,6,-7.272,0.0,0.659,83.138,Happy
Men I Trust,Show Me How,Show Me How,01TyFEZu6mHbffsVfxgrFn,0.267,5,-11.997,0.534,0.544,165.99,Happy
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,0.464,5,-9.789,1.71e-05,0.638,109.004,Happy
Aaron May,CHASE,Let Go,7cLnbmx7ZUWAwyocrKz3wL,0.498,9,-8.339,0.0,0.692,110.017,Happy
Libianca,People,People,26b3oVLrRUaaybJulow9kz,0.422,10,-7.621,1.31e-05,0.693,124.357,Happy
