Artist,Album,Track Name,Track ID,Energy,Key,Loudness,Instrumentalness,Valence,Tempo,Mood
Travis Scott,UTOPIA,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,0.882,3,-2.777,0.0,0.201,148.038,Sad
Morgan Wallen,One Thing At A Time,Last Night,7K3BhSpAxZBznislvUMVtn,0.675,6,-5.456,0.0,0.478,203.759,Sad
Morgan Wallen,Dangerous: The Double Album,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,0.657,11,-5.24,0.00107,0.252,196.0,Sad
Bad Bunny,WHERE SHE GOES,WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,0.8,9,-4.019,0.629,0.234,143.978,Sad
J. Cole,2014 Forest Hills Drive,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,0.521,10,-8.492,0.0,0.494,100.028,Sad
Morgan Wallen,One Thing At A Time,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,0.757,3,-5.775,0.0,0.429,139.971,Sad
Jimin,FACE,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,0.733,7,-5.445,0.0,0.362,120.001,Sad
Travis Scott,UTOPIA,TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,0.535,5,-4.854,0.0,0.216,82.826,Sad
SZA,SOS,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,0.735,8,-5.747,0.144,0.418,88.98,Sad
Travis Scott,UTOPIA,MY EYES,4kjI1gwQZRKNDkw1nI475M,0.621,0,-7.694,2.59e-06,0.28,119.043,Sad
Travis Scott,UTOPIA,TOPIA TWINS (feat. Rob49 & 21 Savage),0lodMO0qK83vfPiiD7FMEt,0.567,1,-4.481,0.0,0.332,160.098,Sad
Travis Scott,UTOPIA,HYAENA,0hL9gOw6XBWsygEUcVjxEc,0.754,8,-5.277,0.0,0.455,97.071,Sad
SZA,SOS,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,0.551,5,-7.231,0.0,0.392,143.008,Sad
Drake,"Honestly, Nevermind",Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,0.673,0,-4.711,2.41e-06,0.366,165.921,Sad
Metro Boomin,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,0.62,1,-6.005,0.0,0.172,97.95,Sad
Lil Uzi Vert,Pink Tape,Flooded The Face,4daEMLSZCgZ2Mt7gNm2SRa,0.609,1,-7.714,2.47e-06,0.393,131.889,Sad
Taylor Swift,reputation,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,0.534,9,-6.719,1.76e-05,0.193,135.917,Sad
d4vd,Romantic Homicide,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,0.544,6,-10.613,0.00805,0.216,132.052,Sad
Miguel,All I Want Is You,Sure Thing,0JXXNGljqupsJaZsgSbMZV,0.607,11,-8.127,0.000307,0.498,81.001,Sad
Drake,Her Loss,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,0.52,11,-9.342,1.86e-06,0.424,153.15,Sad
The Neighbourhood,I Love You.,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,0.807,10,-2.81,0.0177,0.398,124.053,Sad
Taylor Swift,Midnights,Karma,7KokYm8cMIXCsGVmUvKtqf,0.62,8,-7.091,0.0,0.0969,90.02,Sad
Kendrick Lamar,"good kid, m.A.A.d city",Money Trees,2HbKqm4o0w5wEeEFXm2sD4,0.531,7,-7.355,0.0,0.344,71.994,Sad
